open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.69984E+12,37248.3,37281.8,37201.3,37202.3,938.156,1.69984E+12,34943230.99,16769,358.753,13364767.16,0
1.69984E+12,37202.3,37266,37142.3,37166.1,1460.859,1.69984E+12,54342314.83,20316,610.133,22697096.21,0
1.69984E+12,37166,37180,37044.6,37060.8,3189.66,1.69985E+12,118333127.7,37893,1339.976,49711707.29,0
1.69985E+12,37061.8,37099.4,37010.1,37049,2748.775,1.69985E+12,101836519.4,32765,1286.462,47663445.88,0
1.69985E+12,37048.9,37080,36955,37010,4178.395,1.69985E+12,154654212.1,41204,1833.344,67867192.78,0
1.69985E+12,37010.1,37047.7,36870.1,36941.3,4123.536,1.69985E+12,152366387.5,45173,1778.899,65749467.06,0
1.69985E+12,36941.2,36975.9,36851.1,36858.8,3657.752,1.69985E+12,135016774,35335,1736.811,64120319.67,0
1.69985E+12,36858.9,36982,36832.2,36967.5,3400.528,1.69985E+12,125519375.1,33768,1860.419,68694192.44,0
1.69985E+12,36967.5,36967.6,36897.2,36959.8,2025.776,1.69985E+12,74821014.8,20588,943.57,34854272.55,0
1.69985E+12,36959.8,36959.9,36903.5,36950,1195.179,1.69985E+12,44144929.12,15520,653.178,24125171.63,0
1.69985E+12,36950,36950.1,36850.2,36850.3,1947.904,1.69985E+12,71852987.01,23322,829.701,30605112.08,0
1.69985E+12,36850.2,36920.4,36840,36903.6,1716.399,1.69985E+12,63311938.03,23144,917.716,33851830.72,0
1.69985E+12,36903.6,36946.8,36890,36907.1,1066.645,1.69985E+12,39379137.37,15313,529.218,19538346.07,0
1.69985E+12,36907.1,36950,36896.7,36938.5,843.46,1.69986E+12,31143630.19,12478,504.235,18619113.18,0
1.69986E+12,36938.5,36938.6,36869.2,36890.2,1198.483,1.69986E+12,44215739.21,16727,569.569,21012886.56,0
1.69986E+12,36890.2,36899.9,36830.1,36844.1,1334.875,1.69986E+12,49212094.28,17447,530.548,19560539.57,0
1.69986E+12,36844,36955.7,36760,36946.3,3785.731,1.69986E+12,139568312.3,39453,1842.795,67967280.66,0
1.69986E+12,36946.3,36990.2,36923,36983.4,1918.459,1.69986E+12,70898766.35,20476,965.814,35698006.21,0
1.69986E+12,36983.3,37047,36956,37038.6,1947.205,1.69986E+12,72044789.71,23047,1187.277,43932509.89,0
1.69986E+12,37038.6,37069.9,37013.8,37056,1852.447,1.69986E+12,68618285.42,23837,931.29,34498848.08,0
